,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688385.SH,20240913,25.2,25.33,24.3,24.38,25.18,-0.8,-3.1771,43258.21,106793.726
1,688385.SH,20240912,25.46,25.88,25.18,25.18,25.32,-0.14,-0.5529,27362.61,69745.831
2,688385.SH,20240911,25.36,25.49,25.14,25.32,25.51,-0.19,-0.7448,26289.54,66467.626
3,688385.SH,20240910,25.37,25.78,24.7,25.51,25.35,0.16,0.6312,40413.2,101805.62
4,688385.SH,20240909,25.78,25.99,25.19,25.35,25.79,-0.44,-1.7061,37172.31,94712.749
5,688385.SH,20240906,26.83,26.83,25.75,25.79,26.78,-0.99,-3.6968,35016.62,91388.876
6,688385.SH,20240905,26.73,27.09,26.58,26.78,26.74,0.04,0.1496,25654.42,68818.827
7,688385.SH,20240904,26.41,26.98,26.3,26.74,26.69,0.05,0.1873,24122.79,64426.138
8,688385.SH,20240903,26.48,26.99,26.36,26.69,26.41,0.28,1.0602,31449.04,83856.077
9,688385.SH,20240902,27.58,27.69,26.4,26.41,27.69,-1.28,-4.6226,47862.49,128655.726
10,688385.SH,20240830,26.86,28.17,26.75,27.69,26.88,0.81,3.0134,66112.79,183229.021
11,688385.SH,20240829,25.8,27.25,25.46,26.88,25.71,1.17,4.5508,63044.25,168161.725
12,688385.SH,20240828,25.9,26.1,25.47,25.71,25.9,-0.19,-0.7336,35732.92,92050.792
13,688385.SH,20240827,26.74,26.76,25.8,25.9,26.65,-0.75,-2.8143,39211.28,102215.609
14,688385.SH,20240826,26.86,27.13,26.51,26.65,26.68,-0.03,-0.1124,29009.85,77690.198
15,688385.SH,20240823,26.85,26.98,26.32,26.68,26.81,-0.13,-0.4849,34024.98,90561.651
16,688385.SH,20240822,27.35,27.41,26.68,26.81,27.39,-0.58,-2.1176,44922.73,121018.822
17,688385.SH,20240821,27.59,27.85,27.34,27.39,27.71,-0.32,-1.1548,33546.62,92237.246
18,688385.SH,20240820,28.88,28.88,27.52,27.71,28.72,-1.01,-3.5167,65872.54,184308.564
19,688385.SH,20240819,29.83,29.95,28.71,28.72,29.79,-1.07,-3.5918,49733.36,145474.19
20,688385.SH,20240816,30.38,30.39,29.5,29.79,30.23,-0.44,-1.4555,49701.5,148246.669
21,688385.SH,20240815,30.66,31.04,30.1,30.23,30.28,-0.05,-0.1651,43232.15,131695.908
22,688385.SH,20240814,30.66,30.78,30.28,30.28,30.65,-0.37,-1.2072,21263.23,64831.65
23,688385.SH,20240813,30.21,30.68,30.08,30.65,30.19,0.46,1.5237,29034.25,88089.461
24,688385.SH,20240812,30.11,30.4,29.68,30.19,30.32,-0.13,-0.4288,33340.93,100207.79
25,688385.SH,20240809,31.16,31.4,30.32,30.32,30.71,-0.39,-1.2699,45239.48,139180.327
26,688385.SH,20240808,30.79,31.4,30.05,30.71,30.98,-0.27,-0.8715,53287.77,163477.198
27,688385.SH,20240807,30.69,31.45,30.52,30.98,30.94,0.04,0.1293,40772.53,126559.385
28,688385.SH,20240806,30.92,31.2,30.48,30.94,30.38,0.56,1.8433,39460.11,121617.129
29,688385.SH,20240805,31.4,32.18,30.38,30.38,31.85,-1.47,-4.6154,67434.34,210630.136
30,688385.SH,20240802,32.65,33.23,31.7,31.85,33.08,-1.23,-3.7183,67091.43,217983.958
31,688385.SH,20240801,32.99,33.59,32.66,33.08,33.17,-0.09,-0.2713,93059.69,308109.877
32,688385.SH,20240731,31.91,33.22,31.91,33.17,32.21,0.96,2.9804,94926.55,311863.994
33,688385.SH,20240730,30.6,32.38,30.0,32.21,30.98,1.23,3.9703,86651.18,272086.729
34,688385.SH,20240729,31.11,32.5,30.98,30.98,31.14,-0.16,-0.5138,70576.04,223837.093
35,688385.SH,20240726,30.24,31.63,29.72,31.14,30.44,0.7,2.2996,69834.9,214207.92
36,688385.SH,20240725,30.45,31.27,30.32,30.44,30.76,-0.32,-1.0403,44522.48,136567.8
37,688385.SH,20240724,31.51,31.98,30.63,30.76,31.51,-0.75,-2.3802,60095.38,187790.446
38,688385.SH,20240723,32.9,32.98,31.5,31.51,33.1,-1.59,-4.8036,77755.78,250710.257
39,688385.SH,20240722,33.5,33.92,32.93,33.1,33.5,-0.4,-1.194,95424.13,318662.31
40,688385.SH,20240719,32.02,33.54,31.56,33.5,31.76,1.74,5.4786,130867.53,429508.599
41,688385.SH,20240718,31.89,32.38,30.81,31.76,32.21,-0.45,-1.3971,94087.28,296726.13
42,688385.SH,20240717,32.82,33.12,32.21,32.21,32.91,-0.7,-2.127,59916.57,195524.001
43,688385.SH,20240716,31.66,33.1,31.32,32.91,31.85,1.06,3.3281,92986.89,301307.163
44,688385.SH,20240715,31.85,32.54,31.75,31.85,32.1,-0.25,-0.7788,54330.77,174596.692
45,688385.SH,20240712,31.8,32.48,31.48,32.1,32.14,-0.04,-0.1245,54656.25,174606.821
46,688385.SH,20240711,32.1,32.6,31.65,32.14,31.55,0.59,1.87,67782.52,217480.706
47,688385.SH,20240710,31.4,31.85,31.27,31.55,31.6,-0.05,-0.1582,50313.39,158952.11
48,688385.SH,20240709,30.32,31.92,30.2,31.6,30.45,1.15,3.7767,94820.37,296260.472
49,688385.SH,20240708,29.68,31.38,29.51,30.45,29.69,0.76,2.5598,102639.44,314640.572
50,688385.SH,20240705,29.37,29.89,28.83,29.69,29.51,0.18,0.61,55325.85,162550.158
51,688385.SH,20240704,30.37,30.55,29.45,29.51,30.34,-0.83,-2.7357,52826.83,157763.649
52,688385.SH,20240703,30.19,30.87,29.4,30.34,30.18,0.16,0.5302,66011.26,198999.558
53,688385.SH,20240702,30.91,30.98,29.99,30.18,30.91,-0.73,-2.3617,59251.24,180027.417
54,688385.SH,20240701,31.47,31.56,30.06,30.91,31.38,-0.47,-1.4978,74652.18,229515.392
55,688385.SH,20240628,29.85,32.77,29.75,31.38,29.83,1.55,5.1961,131201.62,414277.896
56,688385.SH,20240627,30.44,30.66,29.83,29.83,30.63,-0.8,-2.6118,58729.56,176863.808
57,688385.SH,20240626,29.61,30.71,29.05,30.63,29.53,1.1,3.725,82903.73,247281.299
58,688385.SH,20240625,31.58,31.75,29.33,29.53,31.54,-2.01,-6.3729,113745.49,342658.908
59,688385.SH,20240624,33.33,33.75,31.38,31.54,33.4,-1.86,-5.5689,96045.76,311806.248
60,688385.SH,20240621,32.9,33.68,32.17,33.4,33.37,0.03,0.0899,90535.79,299610.583
61,688385.SH,20240620,32.83,34.6,32.79,33.37,32.89,0.48,1.4594,143643.54,485414.828
62,688385.SH,20240619,33.78,33.98,32.58,32.89,33.78,-0.89,-2.6347,107674.24,355784.766
63,688385.SH,20240618,34.34,34.34,33.5,33.78,34.18,-0.4,-1.1703,84873.9,286875.781
64,688385.SH,20240617,33.1,34.65,33.01,34.18,33.14,1.04,3.1382,120107.11,409487.005
65,688385.SH,20240614,34.0,34.6,33.14,33.14,34.11,-0.97,-2.8437,174604.1,590069.749
66,688385.SH,20240613,33.74,35.22,33.58,34.11,33.86,0.25,0.7383,136865.43,471283.7
67,688385.SH,20240612,33.52,34.03,33.33,33.96,33.81,0.15,0.4437,104302.92,351474.664
68,688385.SH,20240611,31.75,33.88,31.54,33.81,31.7,2.11,6.6562,133225.26,439206.872
69,688385.SH,20240607,32.68,32.9,31.45,31.7,32.6,-0.9,-2.7607,88061.64,281872.383
70,688385.SH,20240606,32.99,33.41,32.05,32.6,32.78,-0.18,-0.5491,100508.24,328228.236
71,688385.SH,20240605,32.7,33.64,32.43,32.78,32.62,0.16,0.4905,96652.01,320694.817
72,688385.SH,20240604,32.41,32.87,32.04,32.62,32.64,-0.02,-0.0613,85089.0,275144.454
73,688385.SH,20240603,31.4,33.09,31.26,32.64,31.2,1.44,4.6154,166821.13,541675.994
74,688385.SH,20240531,31.09,31.42,30.62,31.2,31.13,0.07,0.2249,86829.49,270093.261
75,688385.SH,20240530,29.26,31.48,28.76,31.13,29.37,1.76,5.9925,135146.32,413701.129
76,688385.SH,20240529,29.24,29.75,29.11,29.37,29.42,-0.05,-0.17,51790.08,152419.15
